host,ip,port,protocol,title,domain,country,city,link,org
82.156.140.125:9008,82.156.140.125,9008,http,深圳地铁,,CN,Beijing,http://82.156.140.125:9008,Shenzhen Tencent Computer Systems Company Limited
183.238.156.135,183.238.156.135,80,http,深圳地铁安保区信息一体化平台,,CN,Shenzhen,http://183.238.156.135,"China Mobile Communications Group Co., Ltd."
183.238.156.138,183.238.156.138,80,http,深圳地铁,,CN,Shenzhen,http://183.238.156.138,"China Mobile Communications Group Co., Ltd."
58.251.18.56,58.251.18.56,80,http,深圳地铁,,CN,Shenzhen,http://58.251.18.56,China Unicom Shenzen network
58.251.18.58,58.251.18.58,80,http,深圳地铁安全管理平台,,CN,Shenzhen,http://58.251.18.58,China Unicom Shenzen network
58.251.18.59,58.251.18.59,80,http,深圳地铁安保区信息一体化平台,,CN,Shenzhen,http://58.251.18.59,China Unicom Shenzen network
https://183.238.156.131,183.238.156.131,443,https,深圳地铁安保区信息化管理系统,,CN,Shenzhen,https://183.238.156.131,"China Mobile Communications Group Co., Ltd."
https://183.238.156.135,183.238.156.135,443,https,深圳地铁安保区信息一体化平台,,CN,Shenzhen,https://183.238.156.135,"China Mobile Communications Group Co., Ltd."
https://120.76.55.226,120.76.55.226,443,https,深圳地铁11号线 - 实时到站,,CN,Shenzhen,https://120.76.55.226,"Hangzhou Alibaba Advertising Co.,Ltd."
81.71.72.98:3000,81.71.72.98,3000,http,深圳地铁大亨,,CN,Guangzhou,http://81.71.72.98:3000,Shenzhen Tencent Computer Systems Company Limited
81.71.72.98,81.71.72.98,80,http,深圳地铁大亨,,CN,Guangzhou,http://81.71.72.98,Shenzhen Tencent Computer Systems Company Limited
8.153.205.134,8.153.205.134,80,http,深圳地铁灯箱管理系统,,CN,Shanghai,http://8.153.205.134,"Hangzhou Alibaba Advertising Co.,Ltd."
https://58.251.18.58,58.251.18.58,443,https,深圳地铁安全管理平台,,CN,Shenzhen,https://58.251.18.58,China Unicom Shenzen network
www.szmc.net,58.251.18.56,80,http,深圳地铁,szmc.net,CN,Shenzhen,http://www.szmc.net,China Unicom Shenzen network
https://183.238.156.138,183.238.156.138,443,https,深圳地铁,,CN,Shenzhen,https://183.238.156.138,"China Mobile Communications Group Co., Ltd."
https://58.251.18.56,58.251.18.56,443,https,深圳地铁,,CN,Shenzhen,https://58.251.18.56,China Unicom Shenzen network
https://58.251.18.59,58.251.18.59,443,https,深圳地铁安保区信息一体化平台,,CN,Shenzhen,https://58.251.18.59,China Unicom Shenzen network
https://m.szmrt-ad.com,183.60.226.49,443,https,"	深圳地铁广告-深圳地铁广告投放中心-城市轨道广告部",szmrt-ad.com,CN,Dongguan,https://m.szmrt-ad.com,CHINANET Guangdong province network
https://www.szmrt-ad.com,27.222.2.49,443,https,"	深圳地铁广告-深圳地铁广告投放中心-城市轨道广告部",szmrt-ad.com,CN,Jinan,https://www.szmrt-ad.com,CHINA UNICOM China169 Backbone
www.szmrt.com,47.238.173.27,80,http,深圳地铁广告公司2026年,szmrt.com,CN,Hong Kong,http://www.szmrt.com,"Alibaba US Technology Co., Ltd."
m.szmrt-ad.com,183.60.226.49,80,http,"	深圳地铁广告-深圳地铁广告投放中心-城市轨道广告部",szmrt-ad.com,CN,Dongguan,http://m.szmrt-ad.com,CHINANET Guangdong province network
www.szmrt-ad.com,120.240.164.90,80,http,"	深圳地铁广告-深圳地铁广告投放中心-城市轨道广告部",szmrt-ad.com,CN,Jieyang,http://www.szmrt-ad.com,"China Mobile Communications Group Co., Ltd."
https://cg.shenzhenmc.com,58.251.18.50,443,https,深圳地铁-智能招采管理平台 ,shenzhenmc.com,CN,Shenzhen,https://cg.shenzhenmc.com,China Unicom Shenzen network
https://www.szmc.net,183.238.156.138,443,https,深圳地铁,szmc.net,CN,Shenzhen,https://www.szmc.net,"China Mobile Communications Group Co., Ltd."
https://jt.shenchuang.com,183.62.138.29,443,https,深圳交通资讯_深圳交通最新消息_深圳地铁最新动态-深圳之窗,shenchuang.com,CN,Shenzhen,https://jt.shenchuang.com,Chinanet
https://dt.shzh-tech.com,110.41.23.219,443,https,深圳地铁物业管理发展有限公司,shzh-tech.com,CN,Guangzhou,https://dt.shzh-tech.com,Huawei Cloud Service data center
dt.shzh-tech.com,110.41.23.219,80,http,深圳地铁物业管理发展有限公司,shzh-tech.com,CN,Guangzhou,http://dt.shzh-tech.com,Huawei Cloud Service data center
stxx.jnqj.net,1.95.62.135,80,http,深铁信息 - 深圳地铁互动数字人管理平台,jnqj.net,CN,Beijing,http://stxx.jnqj.net,Huawei Cloud Service data center
stpw.jnqj.net,1.95.62.135,80,http,深圳地铁票务异常处理中心,jnqj.net,CN,Beijing,http://stpw.jnqj.net,Huawei Cloud Service data center
https://stpw.jnqj.net,1.95.62.135,443,https,深圳地铁票务异常处理中心,jnqj.net,CN,Beijing,https://stpw.jnqj.net,Huawei Cloud Service data center
szdtjt.fukang123.com,156.245.119.27,80,http,深圳《地铁集团,fukang123.com,CN,Hong Kong,http://szdtjt.fukang123.com,PEG TECH INC
https://bjxt.jnqj.net,1.95.62.135,443,https,深圳地铁互动数字人报价系统,jnqj.net,CN,Beijing,https://bjxt.jnqj.net,Huawei Cloud Service data center
bjxt.jnqj.net,1.95.62.135,80,http,深圳地铁互动数字人报价系统,jnqj.net,CN,Beijing,http://bjxt.jnqj.net,Huawei Cloud Service data center
82.156.140.125:8090,82.156.140.125,8090,http,深圳地铁,,CN,Beijing,http://82.156.140.125:8090,Shenzhen Tencent Computer Systems Company Limited
119.188.210.140:8090,119.188.210.140,8090,http,深圳地铁拟直达东莞,,CN,Zaozhuang,http://119.188.210.140:8090,CHINA UNICOM China169 Backbone
jt.shenchuang.com,183.62.138.29,80,http,深圳交通资讯_深圳交通最新消息_深圳地铁最新动态-深圳之窗,shenchuang.com,CN,Shenzhen,http://jt.shenchuang.com,Chinanet
